Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/canonical.html-1,200,236,235,329,347,393,50,456,0.000%,64.53695,19.03,18.97
/success.txt-3,200,234,238,325,355,499,27,865,0.000%,63.09148,13.55,18.67
/success.txt-2,200,239,242,321,341,426,26,524,0.000%,61.18079,13.14,18.10
/canonical.html-4,200,237,222,311,355,507,42,533,0.000%,59.18911,17.46,17.40
/success.txt-5,200,213,206,300,322,353,68,423,0.000%,58.24112,12.51,17.23
/success.txt-6,200,210,204,330,378,488,20,526,0.000%,61.31208,13.17,18.14
TOTAL,1200,228,224,321,347,485,20,865,0.000%,323.27586,78.08,95.45
