Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/canonical.html-1,200,236,50,456,75.41,0.000%,64.53695,19.03,18.97,302.0
/success.txt-3,200,234,27,865,92.63,0.000%,63.09148,13.55,18.67,220.0
/success.txt-2,200,239,26,524,72.36,0.000%,61.18079,13.14,18.10,220.0
/canonical.html-4,200,237,42,533,72.16,0.000%,59.18911,17.46,17.40,302.0
/success.txt-5,200,213,68,423,61.86,0.000%,58.24112,12.51,17.23,220.0
/success.txt-6,200,210,20,526,92.73,0.000%,61.31208,13.17,18.14,220.0
TOTAL,1200,228,20,865,79.57,0.000%,323.27586,78.08,95.45,247.3
