Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
fetch questions,60,102,88,221,229,250,8,423,0.000%,.18169,8.46,0.02
get questions,60,501,496,854,935,951,118,960,0.000%,.18132,0.08,0.07
TOTAL,120,302,206,715,854,951,8,960,0.000%,.36262,8.52,0.10
